Arabic,English,Hebrew,Russian,French
أعمل,Work,עֲבוֹדָה,Работа,Travail
يمكنه,Enable,לְאַפשֵׁר,Давать возможность,Activer
الآخر,The other,האחר,Другой,L'autre
تحاول,Tried,ניסה,Пытался,Essayé
هَلْ,Do,האם,Делать,Faire
صغير,small,קטן,маленький,petit
لستُ,I am not,אני לא,не я,je ne suis pas
بخصوص,regarding,לגבי,касательно,concernant
أخبرك,I tell you,אני אומר לך,Я говорю вам,Je vous le dis
الحال,adverb,תואר הפועל,наречие,adverbe
بأي,With any,עם כל,С любого,Avec n'importe quel
نظرة,a look,מבט,взгляд,un regard
لأجل,For,ל,Для,Pour
الخروج,Exit,יְצִיאָה,Выход,Sortie
تظن,You think,אתה חושב,Вы думаете,Tu penses
النوم,sleep,שינה,спать,dormir
الماضية,Past,עבר,Прошлое,Passé
دكتور,doctor,דוֹקטוֹר,врач,médecin
المرأة,woman,האישה,женщина,femme
انظري,Look at,להסתכל על,Посмотри на,Regarder
بد,Be,לִהיוֹת,Быть,Être
لمدة,Period,פרק זמן,Период,Période
وجود,Existence,קִיוּם,Существование,Existence
الحرب,the war,המלחמה,война,la guerre
ذا,Be,לִהיוֹת,Быть,Être
تقلق,Worry,דאגה,Волноваться,Inquiétude
بلا,without,בלי,без,sans
عرفت,I knew,ידעתי,я знал,je savais
ثلاث,three,שְׁלוֹשָׁה,три,trois
هلا,Do,לַעֲשׂוֹת,Делать,Faire
أدري,I know,אני יודע,Я знаю,Je sais
اللعين,Dreaded,מפחד,Страх,Redouté
ذهب,gold,זהב,золото,or
الا,unless,אֶלָא אִם,пока не,sauf si
المشكلة,the problem,הבעיה,проблема,le problème
الأسبوع,the week,השבוע,неделя,la semaine
الوحيدة,The only one,היחיד,Единственный,Le seul
كله,Entire,שלם,Весь,Entier
تعالي,Come here,בואי,Идите сюда,Venez ici
مايكل,Michael,מיכאל,Майкл,Michael
إنك,You are,אתה,Ты,Tu es
كلاّ,both,לא,оба,les deux
حاولت,I tried,ניסיתי,Я пытался,J'ai essayé
أهلاً,Hello,ברוכים הבאים,Привет,Bonjour
دعونا,We Invited,אנחנו הזמנו,Мы пригласили,Nous avons invité
اخرى,Others,אחרת,Другие,Autres
أنّك,You are,אתה,Ты,Tu es
وشك,Suspicious,חָשׁוּד,Подозрительный,Suspect
فعلاً,actually,בעצם,на самом деле,en fait
وسوف,will,רָצוֹן,воля,sera
عائلة,family,משפחה,семья,famille
افعل,I do,עידו,Я делаю,Je fais
عدم,non,לֹא,не,non
أخبرتك,I told you,אמרתי לך,я говорил тебе,Je te l'ai dit
كثيرا,a lot,הרבה,много,beaucoup
سيدى,my lord,אדוני,мой господин,mon Seigneur
رئيس,president,נָשִׂיא,президент,président
فأنا,I am,אני,Я,Je suis
الغرفة,the room,החדר,комната,la chambre
وحسب,According to,לפי,В соответствии с,Selon
المساعدة,Help,עֶזרָה,Помощь,Aider
الخارج,the outside,הבחוץ,снаружи,l'extérieur
بعيداً,Away,רָחוֹק,Прочь,Loin
أعطني,Give me,תן לי,Дай мне,Donne-moi
اذن,permission,רְשׁוּת,разрешение,autorisation
سيء,bad,רע,плохой,mauvais
العديد,Many,רב,Много,Beaucoup
أصبحت,I became,הפכתי,я стал,je suis devenu
الطبيب,the doctor,הרופא,доктор,le Docteur
رسالة,message,הודעה,сообщение,Message
خمسة,five,חָמֵשׁ,пять,cinq
كَانَ,He was,היה,Он был,Il était
يذهب,He goes,הוא הולך,Он идет,Il va
العشاء,dinner,אֲרוּחַת עֶרֶב,ужин,dîner
الفتيات,the girls,הבנות,Девушки,les filles
النساء,Women,נשים,Женщины,Femmes
ضد,against,מול,против,contre
تحصل,Obtain,לְהַשִׂיג,Получать,Obtenir
نقوم,We do,אנחנו עושים,Мы делаем,Nous faisons
جيدا,well,נו,хорошо,Bien
يهم,Matches,התאמות,Матчи,Allumettes
بهم,They are,הם,Они есть,Ils sont
الموضوع,the topic,הנושא,тема,le sujet
وفي,In,ב,В,Dans
الممكن,Possible,אפשרי,Возможный,Possible
اخر,last,אחר,последний,dernier
الفتى,Boy,יֶלֶד,Мальчик,Garçon
مباشرة,directly,באופן ישיר,напрямую,directement
بالأمر,By order,לפי הזמנה,По порядку,Par ordre
أتذكر,I remember,אני זוכר,Я помню,Je me souviens
بيت,house,בית,дом,loger
مايك,Mike,מִיקרוֹפוֹן,Майк,Mike
لأني,because I am,כי אני,потому что я,parce que je suis
بطريقة,in a way,בדרך,в некотором смысле,dans un sens
ساعات,hours,שעה (ות,часы,heures
حينما,While,בזמן,Пока,Alors que
فترة,a period,תקופה,Период,une période
الأشخاص,People,אֲנָשִׁים,Люди,Personnes
نيويورك,New York,ניו יורק,Нью-Йорк,New York
أراك,See you,נתראה,Увидимся,À bientôt
أنتي,female,את,женский,femme
شكرًا,Thanks,תודה,Спасибо,Merci
اسم,name,שֵׁם,имя,Prenom
قصة,story,סיפור,история,histoire
توجد,Exist,קיימים,Существовать,Exister
القادمة,Upcoming,צפוי,Предстоящий,A venir
امرأة,woman,אִשָׁה,женщина,femme
فتى,boy,יֶלֶד,мальчик,garçon
أَنا,I,אני,я,je
افضل,better,יותר טוב,лучше,mieux
حقيقي,TRUE,נָכוֹן,истинный,VRAI
بواسطة,by,באמצעות,к,par
مجنون,crazy,מְטוּרָף,сумасшедший,fou
زوجتي,my wife,אישתי,моя жена,ma femme
أهذا,Is this,האם זה,Это,Est-ce
متأكدة,Skeptical,סקֶפְּטִי,Скептически,Sceptique
ذاهب,Going,הולך,Идущий,En allant
يحصل,Gets,מקבל,Получает,Se faire
تحب,Love,תאהב,Любовь,Tu aimes
أتعرف,Know,לָדַעַת,Знать,Savoir
النهاية,the end,הסוף,конец,la fin
مكتب,office,מִשׂרָד,офис,bureau
ولن,He will not,הוא לא,Он не,Il ne voudra pas
مثلك,like you,כמוך,как ты,comme toi
اننا,We are,אנחנו,Мы,Nous sommes
بالخارج,Outside,בחוץ,Снаружи,Dehors
لهذه,For this,לזה,Для этого,Pour ça
الحق,Right,ימין,Верно,Droite
بلى,indeed,אכן,действительно,Si
أصدق,believe,לְהֶאֱמִין,полагать,croire
أخر,last,אחר,последний,dernier
آمل,hope,תקווה,надеяться,espoir
اه,Yes,כן,Да,Oui
أنْ,that,זֶה,что,ce
الإطلاق,Release,לְשַׁחְרֵר,Выпускать,Libérer
فرانك,Frank,גלוי לב,Откровенный,Franc
طلب,to request,לבקש,запрашивать,demander
بدأ,seem,התחיל,казаться,sembler
لعبة,Game,מִשְׂחָק,Игра,Jeu
مرحبًا,Welcome,שלום,Добро пожаловать,Accueillir
جورج,George,ג'ורג ',Джордж,George
قريباً,almost,בקרוב,почти,presque
اني,that I,שאני,что я,que je
مجموعة,group,קְבוּצָה,группа,groupe
أمام,Before,לפני,До,Avant
الحديث,the talk,השיחה,разговор,le discours
جي,J,י,Дж,J
مساعدتك,Your help,עזרתך,Ваша помощь,Ton aide
حاول,Try,ניסה,Пытаться,Essayer
شخصاً,A person,אדם,Персона,Une personne
حقيقة,fact,עוּבדָה,факт,fait
جميعا,All of all,הכל הכל,Все,Tout
اللقاء,Meeting,פְּגִישָׁה,Встреча,Réunion
وبعد,After,לאחר,После,Après
مدى,Bezel,לוח,Панель,Facette
صورة,picture,תְמוּנָה,картина,image
بأنها,That is,זה,То есть,C'est
سوى,but,אבל,но,mais
التفكير,Thinking,חושב,Мышление,Pensée
الملك,the king,המלך,король,le roi
الأخيرة,Last,אחרון,Последний,Dernier
الثانية,the second,השני,второй,la deuxième
فهو,Being,להיות,Существование,Être
مِن,from,מ,от,depuis
تحدث,to speak,לדבר,говорить,parler
فيما,In,ב,В,Dans
الوضع,the situation,המצב,ситуация,la situation
عدد,number,מספר,число,nombre
حفلة,a party,מסיבה,вечеринка,fête
ولكني,But,אבל,Но,Mais
لسنا,We are not,אנחנו לא,Мы не,Nous ne sommes pas
تبقى,Stay,שָׁהוּת,Оставаться,Rester
بشيء,Something,משהו,Что-нибудь,Quelque chose
مدينة,city,עיר,город,ville
كهذا,Like this,ככה,Так,Comme ça
كلها,all of which,כולם,все из которых,tout cela
انتهى,I finish,נגמר,Я заканчиваю,Je finis
كُلّ,all,כל,все,Chaque
يحاول,Try,לְנַסוֹת,Пытаться,Essayer
نحو,Toward,לקראת,К,Vers
أشهر,Months,חודשים,Месяцы,Mois
مثير,arousing,מְעוֹרֵר,возбуждение,excitant
شركة,a company,חברה,компания,une entreprise
تفهم,Understand,מבין,Понимать,Comprendre
اسف,Sorry,מצטער,Извини,Désolé
الجديدة,New,חָדָשׁ,Новый,Nouveau
لكل,for every,לכל,для каждого,pour chaque
أصدقاء,friends,חברים,друзья,amis
النوع,Type,סוּג,Тип,Taper
الجيد,Good,טוֹב,Хороший,Bien
اى,any,איזה,любой,n'importe quel
إليها,to her,לה,ей,à elle
بأني,By me,על ידי,Мной,Par moi
ميت,dead,מֵת,мертвый,mort
بيننا,Between us,בינינו,Между нами,Entre nous
الرب,God,אלוהים,Бог,Dieu
عملية,practical,ניתוח,практичный,pratique
ذو,Bicker,לְהִתְקוֹטֵט,Ссориться,Se chamailler
بيتر,Peter,פיטר,Питер,Pierre
بعضنا,Some of us,חלק מאיתנו,Кто-то из нас,Certains d'entre nous
القضية,the case,המקרה,дело,l'affaire
وكل,And all,וכל,И все,Et tout
أحضر,Bring,לְהָבִיא,Приносить,Apporter
قيد,Restriction,הַגבָּלָה,Ограничение,Restriction
تشارلي,Charlie,צ'רלי,Чарли,Charlie
أخرج,Get out,צא החוצה,Убирайся,Sortir
قادم,coming,מגיע,приходящий,à venir
الواضح,Clear,ברור,Прозрачный,Clair
دعيني,Leave me,עזוב אותי,Оставь меня,Laisse-moi
تفضل,Help yourself,בבקשה,Угощайтесь,Aide-toi
توم,Tom,טום,Том,À M
أتيت,I came,באתי,я пришел,je suis venu
أيضًا,also,גַם,также,aussi
أسمع,Listen,להקשיב,Слушать,Écouter
تأخذ,Take,לקחת,Брать,Prendre
قول,say,אמר,сказать,dire
العائلة,the family,המשפחה,семья,la famille
بنفسك,by yourself,בעצמך,самостоятельно,par toi-même
موعد,an appointment,מועד,встреча,un rendez-vous
عندي,I have,יש לי,У меня есть,J'ai
أثناء,during,תוך כדי,в течение,pendant
ممكن,maybe,יתכן,может быть,peut être
تخبرني,You tell me,אתה תאמר לי,Кому ты рассказываешь,À vous de me dire
إذًا,if,אם,если,si
الكبير,Great,גדול,Большой,Super
صاح,Hoot,לִצְפּוֹר,Застенчивый,Huée
إنتظر,I am waiting,אני מחכה,я жду,j'attends
الزواج,marriage,חתונה,свадьба,mariage
فعلته,I did it,אני עשיתי את זה,я сделал это,je l'ai fait
بكِ,You,בך,Ты,Toi
ولكنه,But,אבל,Но,Mais
حبيبتي,My dear,אהובתי,Мой дорогой,Mon cher
تذكر,to remember,זכור,запомнить,se souvenir
أمك,Your mother,אמא שלך,Ваша мать,Ta mère
مستحيل,impossible,בלתי אפשרי,невозможный,impossible
اعتقدت,I believed,האמנתי,я верил,je croyais
مليون,million,מִילִיוֹן,миллион,million
إليّ,to,ל,к,pour
علم,science,מַדָע,наука,science
قل,Say,תגיד,Сказать,Dire
طلبت,Requested,מבוקש,Запрошен,Demandé
ربّما,maybe,אולי,может быть,peut être
ذاك,that,זֶה,что,ce
حسن,Hassan,חסן,Хасан,Hassan
الأخرى,The other,האחר,Другой,L'autre
يحتاج,Need,צוֹרֶך,Нуждаться,Besoin
تعود,Return,לַחֲזוֹר,Возвращаться,Retour
الهي,divine,אלוהי,божественный,divin
زلت,Remove,לְהַסִיר,Удалять,Retirer
نسيت,I forgot,שכחתי,Я забыл,J'ai oublié
وصلت,It arrived,זה הגיע,Это прибыло,Il est arrivé
انتظري,Wait,לַחֲכוֹת,Ждать,Attendez
نعلم,Teach,לְלַמֵד,Учат,Enseigner
أنّي,that I,שאני,что я,que je
